median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
46862.0,0.558782201405152,0.334047109207709,0.63489932885906,0.106052490626674,High,Regular School,IL,2016-2017,61061,20.2,illinois
52634.0,0.774269557021678,0.279205607476636,0.683863885839737,0.108201581027668,High,Regular School,IL,2016-2017,60561,22.8,illinois
21913.0,0.386964618249534,0.954285714285714,0.177958015267176,0.349729053772405,High,Regular School,IL,2016-2017,60644,14.6,illinois
59375.0,0.622569089048106,0.121290322580645,0.726483357452967,0.10896898575021,High,Regular School,IL,2016-2017,60071,22.5,illinois
56025.0,0.463340683572216,0.529801324503311,0.723830734966592,0.0921318090114324,High,Regular School,WA,2016-2017,99337,17.979242979243,washington
90641.0,0.754639578042586,0.0720720720720721,0.828721017202693,0.0428082191780822,High,Regular School,IL,2016-2017,61736,23.7,illinois
38354.0,0.213409961685824,0.937762825904121,0.5755,0.129884629698549,High,Regular School,IL,2016-2017,60632,16.8,illinois
31177.0,0.445373134328358,0.631848064280497,0.276390008058018,0.190445448676566,High,Regular School,IL,2016-2017,62703,18.0,illinois
73125.0,0.535031847133758,0.397167138810198,0.78672032193159,0.0321148825065274,High,Regular School,IL,2016-2017,60090,20.5,illinois
22891.0,0.710779082177161,0.88833746898263,0.414285714285714,0.168175937904269,High,Regular School,IL,2016-2017,60653,17.9,illinois
76449.0,0.702770780856423,0.147058823529412,0.874256584536958,0.0515799256505576,High,Regular School,IL,2016-2017,62295,21.9,illinois
75556.0,0.607081174438687,0.401084010840108,0.660015349194167,0.0754778101716877,High,Regular School,WA,2016-2017,98589,20.3724053724054,washington
53079.0,0.59775641025641,0.41897233201581,0.454431960049938,0.0912778904665314,High,Regular School,WA,2016-2017,99141,19.6642246642247,washington
153983.0,0.915488976823064,0.0417705735660848,0.934801762114537,0.0453648915187377,High,Regular School,WA,2016-2017,98074,24.2063492063492,washington
88672.0,0.835402298850575,0.662844036697248,0.587253414264036,0.093854748603352,High,Regular School,IL,2016-2017,60461,17.3,illinois
80017.0,0.869311267948406,0.0482233502538071,0.894275700934579,0.112700803212851,High,Regular School,IL,2016-2017,60134,24.3,illinois
45658.0,0.585097001763668,0.246612466124661,0.741935483870968,0.0351602895553257,High,Regular School,IL,2016-2017,62088,20.7,illinois
41250.0,0.650210970464135,0.446153846153846,0.727699530516432,0.138469827586207,High,Regular School,WA,2016-2017,98201,22.3748473748474,washington
58194.0,0.905737704918033,0.255411255411255,1.0,0.0253317249698432,High,Regular School,IL,2016-2017,60559,21.7,illinois
56940.0,0.5809604759881,0.221698113207547,0.601173020527859,0.0820117806977798,High,Regular School,IL,2016-2017,62551,18.7,illinois
58581.0,0.588960342979636,0.0961538461538462,0.739837398373984,0.0996563573883162,High,Regular School,IL,2016-2017,61756,21.4,illinois
29297.0,0.634192932187202,0.960167714884696,0.0443686006825939,0.389221556886228,High,Regular School,IL,2016-2017,60628,14.8,illinois
59551.0,0.664511315593136,0.222952477249747,0.819840898455779,0.050412987752777,High,Regular School,WA,2016-2017,99037,23.2783882783883,washington
67543.0,0.615681730397837,0.374233128834356,0.780262143407864,0.0954404945904173,High,Regular School,IL,2016-2017,60146,19.2,illinois
70893.0,0.609721566776781,0.258333333333333,0.734026745913819,0.0552995391705069,High,Regular School,IL,2016-2017,61281,19.1,illinois
