median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
56250.0,0.718547341115435,0.644239631336405,0.693726937269373,0.117323556370302,High,Regular School,IL,2016-2017,62522,17.8,illinois
71302.0,0.540313754104341,0.240863787375415,0.799485861182519,0.124417353890283,High,Regular School,IL,2016-2017,60416,21.1,illinois
60543.0,0.798643493005511,0.331737673528004,0.712727272727273,0.0799825174825175,High,Regular School,IL,2016-2017,61265,20.4,illinois
49183.0,0.736842105263158,0.211267605633803,0.621621621621622,0.0916149068322981,High,Regular School,WA,2016-2017,98221,23.1807081807082,washington
57336.0,0.705882352941177,0.23614663256607,0.706617647058824,0.0550611790878754,High,Regular School,WA,2016-2017,98501,22.7899877899878,washington
47452.0,0.55765595463138,0.382953181272509,0.601827676240209,0.0376128385155466,High,Regular School,IL,2016-2017,62568,20.0,illinois
50915.0,0.712897526501767,0.395061728395062,0.771428571428571,0.1067472306143,High,Regular School,WA,2016-2017,99347,19.5909645909646,washington
49375.0,0.462558717877867,0.912951167728238,0.553996339231239,0.113576642335766,High,Regular School,IL,2016-2017,60625,15.7,illinois
22891.0,0.710779082177161,0.966911764705882,0.414285714285714,0.168175937904269,High,Regular School,IL,2016-2017,60653,15.0,illinois
58611.0,0.674653687757394,0.288888888888889,0.634285714285714,0.0916398713826367,High,Regular School,IL,2016-2017,60805,20.5,illinois
47763.0,0.430745814307458,0.728634850166482,0.564680232558139,0.145065398335315,High,Regular School,IL,2016-2017,60406,17.4,illinois
39693.0,0.557458563535912,0.240875912408759,0.697283311772316,0.0481550969355847,High,Regular School,IL,2016-2017,62288,18.4,illinois
42955.0,0.642195540308748,0.629703963873557,0.595582635186596,0.0679738562091503,High,Regular School,WA,2016-2017,98908,18.956043956044,washington
52841.0,0.444561774023231,0.594915254237288,0.689858082381447,0.069559864573715,High,Regular School,WA,2016-2017,99326,18.6385836385836,washington
33290.0,0.581322957198444,0.525835866261398,0.311965811965812,0.162992125984252,High,Regular School,IL,2016-2017,61071,19.5,illinois
27031.0,0.446633825944171,0.792682926829268,0.110599078341014,0.237529691211401,High,Regular School,IL,2016-2017,60612,14.5,illinois
37877.0,0.529675810473816,0.431693989071038,0.588924387646432,0.0964203233256351,High,Regular School,IL,2016-2017,61422,17.7,illinois
23750.0,0.335053592695514,0.937710437710438,0.324056895485467,0.201072386058981,High,Regular School,IL,2016-2017,60624,14.8,illinois
44500.0,0.570539419087137,0.301282051282051,0.785079928952043,0.100987091875475,High,Regular School,IL,2016-2017,61041,21.0,illinois
32037.0,0.490833333333333,0.343615494978479,0.152230971128609,0.143280632411067,High,Regular School,IL,2016-2017,62704,21.2,illinois
74132.0,0.612523719165085,0.213350785340314,0.683294663573086,0.123312331233123,High,Regular School,WA,2016-2017,98259,21.6910866910867,washington
66525.0,0.541960281870596,0.103047091412742,0.742394822006472,0.0917933130699088,High,Regular School,IL,2016-2017,60014,22.5,illinois
43958.0,0.219929453262787,0.966728280961183,0.727697622434465,0.0888962876643915,High,Regular School,WA,2016-2017,99349,17.3687423687424,washington
60142.0,0.698430493273543,0.145953757225434,0.931203931203931,0.085573476702509,High,Regular School,WA,2016-2017,98606,22.008547008547,washington
58314.0,0.570952092177077,0.394944707740916,0.73678963110668,0.112227805695142,High,Regular School,WA,2016-2017,98579,22.1550671550672,washington
84983.0,0.754836464857342,0.177791262135922,0.779283976364268,0.0535495495495495,High,Regular School,IL,2016-2017,60560,20.8,illinois
38333.0,0.498238550578762,0.578046324269889,0.399540757749713,0.1256038647343,High,Regular School,WA,2016-2017,98444,19.3223443223443,washington
57083.0,0.662371134020619,0.268011527377522,0.745327102803738,0.0503640776699029,High,Regular School,IL,2016-2017,62675,20.6,illinois
67311.0,0.770444763271162,0.295819935691318,0.641509433962264,0.0504975124378109,High,Regular School,WA,2016-2017,98043,21.3736263736264,washington
41071.0,0.687311178247734,0.363057324840764,0.698254364089776,0.0723562152133581,High,Regular School,WA,2016-2017,99328,21.3980463980464,washington
75804.0,0.649076517150396,0.951071878940731,0.782608695652174,0.180656934306569,High,Regular School,IL,2016-2017,60616,14.7,illinois
70000.0,0.569837189374464,0.377124483233808,0.572727272727273,0.0699666825321276,High,Regular School,IL,2016-2017,61115,20.1,illinois
38656.0,0.683111954459203,0.356589147286822,0.735966735966736,0.0372914622178607,High,Regular School,WA,2016-2017,99205,21.4957264957265,washington
68924.0,0.673671199011125,0.44650666362229535,0.554577464788732,0.16051912568306,High,Regular School,IL,2016-2017,60473,16.5,illinois
55286.0,0.620720720720721,0.225666906993511,0.720119521912351,0.0327790973871734,High,Regular School,WA,2016-2017,98022,21.3247863247863,washington
58889.0,0.6076,0.225563909774436,0.761452031114952,0.054006968641115,High,Regular School,IL,2016-2017,61734,20.5,illinois
47083.0,0.646396396396396,0.745622119815668,0.290763968072976,0.196479738027016,High,Regular School,IL,2016-2017,60471,17.2,illinois
24362.0,0.877038043478261,0.375952582557155,0.610820244328098,0.120940649496081,High,Regular School,WA,2016-2017,99004,22.7167277167277,washington
79596.0,0.767898383371824,0.199739752765127,0.846855059252507,0.046075751659508,High,Regular School,IL,2016-2017,60014,22.0,illinois
53577.0,0.539238721804511,0.282148670645686,0.65375854214123,0.103908955962395,High,Regular School,IL,2016-2017,60008,22.6,illinois
20938.0,0.645344129554656,0.67964824120603,0.0948745910577972,0.163687676387582,High,Regular School,IL,2016-2017,60653,20.6,illinois
56613.0,0.582334664891256,0.341121495327103,0.709711846318036,0.0692829457364341,High,Regular School,IL,2016-2017,61064,19.0,illinois
41909.0,0.501926782273603,0.418732782369146,0.522439585730725,0.116937598321972,High,Regular School,IL,2016-2017,61883,18.1,illinois
64678.0,0.635347351610327,0.218455743879473,0.751291989664083,0.0472103004291846,High,Regular School,IL,2016-2017,62230,20.7,illinois
76220.0,0.563553370786517,0.221820809248555,0.80133779264214,0.0578606775789874,High,Regular School,WA,2016-2017,98391,20.7387057387057,washington
39375.0,0.508771929824561,0.446700507614213,0.570149253731343,0.101176470588235,High,Regular School,IL,2016-2017,62954,18.1,illinois
72966.0,0.70406015037594,0.261984392419175,0.823439878234399,0.0789028107009821,High,Regular School,WA,2016-2017,98346,22.960927960928,washington
52393.0,0.785548865215377,0.91820580474934,0.438297872340426,0.116675839295542,High,Regular School,IL,2016-2017,60608,16.2,illinois
